"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Health","Weekly deaths","By age","Total","Total","2011-01-02","538","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-01-09","564","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-01-16","543","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-01-23","507","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-01-30","516","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-02-06","585","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-02-13","560","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-02-20","533","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-02-27","677","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-03-06","513","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-03-13","523","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-03-20","553","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-03-27","523","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-04-03","565","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-04-10","572","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-04-17","519","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-04-24","569","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-05-01","564","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-05-08","602","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-05-15","566","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-05-22","554","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-05-29","575","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-06-05","542","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-06-12","562","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-06-19","579","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-06-26","582","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-07-03","601","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-07-10","597","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-07-17","576","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-07-24","637","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-07-31","666","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-08-07","667","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-08-14","622","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-08-21","689","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-08-28","639","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-09-04","624","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-09-11","684","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-09-18","643","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-09-25","622","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-10-02","582","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-10-09","651","Number","02-02-21"
"Health","Weekly deaths","By age","Total","Total","2011-10-16","560","Number","02-02-21"
